product-id,name,price,quantity,category,description,production-date,expiration-date,rating,status
1,Горячий шоколад,7061,834,Напитки,Помогает улучшить работу мозга и повысить концентрацию внимания.,2012-05-04,2020-02-11,2.02,Awaiting Payment
2,Каша из дробленной манной крупы,6881,741,Бакалея,Служит основой для создания множества кулинарных шедевров.,2001-11-12,2014-03-02,3.95,Backorder
3,Coca-Cola Zero,5417,926,Напитки,Отличается высокими показателями усвояемости организмом.,2009-07-04,2021-05-02,4.59,Backorder
4,Грейпфрут,3765,550,Фрукты,Помогает улучшить когнитивные функции и память.,1992-02-21,1998-01-03,2.42,Delivered
5,Освежитель воздуха,4092,485,Товары для дома,"Отличается высоким содержанием апигенина, флавоноида, полезного для здоровья мозга и иммунной системы.",2018-02-04,2023-04-27,4.28,Awaiting Review
6,Обуховская,6768,647,Напитки,Подходит для использования в диетических программах для похудения.,2001-11-15,2006-05-22,0.31,Pending
7,Черешня,7496,691,Фрукты,"Отличается низким содержанием натрия, что делает его безопасным для гипертоников.",2007-01-05,2015-01-17,3.74,Sold
8,Грудинка копченая,8400,648,Мясо,"Помогает поддерживать нормальный уровень кемпферола, флавоноида, полезного для здоровья сердца и сосудов.",2016-01-06,2027-06-15,2.11,Refunded
9,Фейхоа,6100,741,Фрукты,"Отличается высоким содержанием кемпферола, флавоноида, полезного для здоровья сердца и сосудов.",2004-04-02,2029-10-05,2.26,On Backorder
10,Пакеты для рыбалки,8496,335,Товары для дома,Помогает поддерживать нормальный уровень холестерина в крови.,2004-01-16,2016-07-01,3.19,Refunded
11,Горчица зерновая,6410,310,Бакалея,"Отличается высоким содержанием хрома, необходимого для регуляции уровня сахара в крови.",2005-04-20,2007-11-01,1.93,Cancelled
12,Айран,982,993,Напитки,"Отличается высоким содержанием хлорогеновых кислот, веществ, способствующих снижению веса и контролю уровня сахара в крови.",1992-03-02,2018-02-17,3.67,Backorder
13,Адыгейский сыр,4146,930,Молочные продукты,"Отличается высоким содержанием фтора, необходимого для здоровья зубов и костей.",1992-01-05,2019-01-05,2.84,Pending
14,Цветная капуста,6615,841,Овощи,Помогает поддерживать нормальный уровень pH в организме.,2004-03-03,2009-07-10,0.64,Temporarily Unavailable
15,Новотерская,4468,589,Напитки,"Может использоваться как основа для приготовления домашних йогуртов, сыров и других молочных продуктов.",2016-08-14,2019-02-13,0.13,Backorder
16,Шпинат,7667,720,Овощи,"Помогает поддерживать нормальный уровень мелатонина, гормона сна.",2001-02-14,2006-10-01,3.71,Awaiting Payment
17,Мешки для мусора,3141,403,Товары для дома,Отличается способностью повышать общий тонус и работоспособность.,2010-05-14,2018-04-15,4.43,Temporarily Unavailable
18,Волгодонская,9953,612,Напитки,"Помогает поддерживать нормальный уровень апигенина, флавоноида, полезного для здоровья мозга и иммунной системы.",2012-11-10,2027-06-03,4.3,Backorder
19,Волгодонская,5179,668,Напитки,"Отличается широким ассортиментом вкусов и форматов, удовлетворяя потребности разных категорий потребителей.",1999-02-02,2007-02-08,1.42,Awaiting Payment
20,Голландский сыр,326,631,Молочные продукты,"Отличается высоким содержанием ненасыщенных жирных кислот, полезных для сердца.",1993-03-02,2019-02-01,1.33,Delivered
21,Фахитас с мясом,9974,159,Мясо,"Отличается высоким содержанием астаксантина, мощного антиоксиданта, полезного для кожи и суставов.",2003-01-12,2027-08-01,1.94,On Backorder
22,Сок апельсиновый,3198,540,Напитки,"Отличается широким ассортиментом вкусов и форматов, удовлетворяя потребности разных категорий потребителей.",2002-03-26,2021-03-01,2.54,Backorder
23,Кокос,549,952,Фрукты,"Отличается высоким содержанием пробиотиков, улучшающих микрофлору кишечника.",2022-02-02,2024-04-01,3.51,Backorder
24,Пакеты для походов,9217,164,Товары для дома,"Отличается высоким содержанием мирицетина, флавоноида, обладающего антиоксидантными и противовоспалительными свойствами.",1995-12-13,2013-01-08,2.93,Pending
25,Мандарин,4364,690,Фрукты,"Отличается низким содержанием лактозы, что делает его доступным для людей с ее непереносимостью.",2011-06-06,2025-02-04,3.82,Refunded
26,Пакеты для Дня Земли,3067,26,Товары для дома,Подходит для использования в специализированных диетах и лечебных программах.,2016-05-09,2028-06-03,0.3,Returned
27,Каша из дробленной ржаной крупы,9390,965,Бакалея,Отвечает всем современным стандартам качества и безопасности.,2017-09-17,2019-04-04,4.95,Delivered
28,Оленина,6224,110,Мясо,Отличается способностью повышать общий тонус и работоспособность.,2006-01-20,2027-01-02,4.97,Out of Stock
29,Сибирская,9296,165,Напитки,Отличается высокими показателями усвояемости организмом.,1992-06-01,2028-04-09,0.24,Sold
30,Пакеты для хранения одежды,5786,291,Товары для дома,Отличается хорошим сочетанием с различными специями и приправами.,2001-04-01,2003-08-09,2.06,Pending
31,Эмменталь,4380,978,Молочные продукты,"Помогает поддерживать нормальный уровень куркумина, вещества, обладающего противовоспалительными и антиоксидантными свойствами.",2008-09-21,2020-01-05,1.21,Awaiting Payment
32,Читинская,3710,824,Напитки,"Отличается высоким содержанием рутина, флавоноида, укрепляющего сосуды и улучшающего кровообращение.",2002-06-07,2014-05-12,4.13,Awaiting Review
33,Фенхель,3409,843,Овощи,"Может использоваться как основа для приготовления домашних йогуртов, сыров и других молочных продуктов.",1995-07-20,2012-02-05,2.75,Sold
34,Пакеты для благотворительного мероприятия,8337,153,Товары для дома,Отличается высокой степенью адаптации к индивидуальным потребностям организма.,1997-04-04,2006-03-15,2.5,On Backorder
35,Петрушка корневая,1062,530,Овощи,"Отличается высоким содержанием пиридоксина, необходимого для синтеза нейромедиаторов.",2016-02-22,2027-02-19,1.43,Cancelled
36,Кумыс,5074,945,Напитки,Подходит для использования в специализированных диетах и лечебных программах.,2008-03-03,2027-01-13,1.94,Delivered
37,Брокколи,8404,653,Овощи,"Является источником витаминов группы B, необходимых для энергетического обмена.",2004-04-06,2021-03-04,0.66,Temporarily Unavailable
38,Бекон,6415,137,Мясо,Помогает поддерживать нормальный уровень тестостерона у мужчин.,2000-05-01,2012-03-07,3.76,On Backorder
39,Тыква,981,536,Овощи,"Помогает поддерживать нормальный уровень лептина, гормона насыщения.",2009-01-01,2028-03-03,1.28,Out of Stock
40,Кефир,501,321,Молочные продукты,"Является источником важных микроэлементов, таких как магний и калий.",2012-08-09,2016-08-07,1.26,Returned
41,Клубника,1861,272,Фрукты,"Помогает поддерживать нормальный уровень сапонинов, веществ, способствующих снижению уровня холестерина.",2000-10-14,2029-02-11,4.68,In Stock
42,Баранина,2365,633,Мясо,Помогает предотвратить развитие остеопороза благодаря высокому содержанию кальция.,2015-05-01,2024-04-08,2.8,Backorder
43,Моцарелла,9651,379,Молочные продукты,Представляет собой ценный источник питательных веществ для растущего организма.,1993-02-02,2023-01-03,0.97,Awaiting Payment
44,Помело,979,114,Фрукты,Помогает поддерживать нормальный уровень гомоцистеина в крови.,2016-06-11,2021-05-06,3.28,Awaiting Review
45,Яблоко,141,564,Фрукты,"Помогает поддерживать нормальный уровень тиреоидных гормонов, регулирующих обмен веществ.",1990-07-10,2008-06-01,3.7,In Stock
46,Редис,9155,931,Овощи,"Отличается разнообразием вкусов и текстур, что позволяет каждому найти свой любимый продукт.",2019-02-06,2028-05-01,1.47,On Backorder
47,Пищевая пленка,9836,793,Товары для дома,Помогает сохранять бодрость и активность в течение дня.,2017-01-03,2024-10-08,3.45,Refunded
48,Пакеты для свадьбы,353,49,Товары для дома,"Отличается высоким содержанием холина, необходимого для здоровья мозга и памяти.",1997-04-03,2016-03-10,4.85,New
49,Пастернак,8306,390,Овощи,Прошел строгий контроль качества на всех этапах производства.,1996-02-09,2025-06-04,2.92,Awaiting Payment
50,Расческа,6479,947,Товары для дома,Помогает поддерживать нормальный уровень артериального давления.,1999-05-09,2014-07-04,3.3,Awaiting Payment
51,Персик,5773,513,Фрукты,"Помогает поддерживать нормальный уровень кверцетина, флавоноида, обладающего антиоксидантными и противовоспалительными свойствами.",2017-01-03,2030-04-06,0.66,On Backorder
52,Бекон,1818,625,Мясо,"Отличается низким содержанием жира, что делает его подходящим для тех, кто следит за фигурой.",2012-10-06,2030-12-03,0.84,Awaiting Review
53,Катык,3179,385,Молочные продукты,Отличается высокой питательной ценностью и помогает поддерживать здоровый образ жизни.,1992-05-05,2012-02-13,1.93,Sold
54,Репа,3502,108,Овощи,Отличается гипоаллергенностью и безопасностью для большинства людей.,2015-02-10,2020-03-02,1.45,Pending
55,Мацони,9611,920,Молочные продукты,Помогает поддерживать нормальный уровень гормонов в организме.,2012-07-02,2027-03-12,4.18,Available for Pickup
56,Пакеты для лекарств,1308,185,Товары для дома,Помогает поддерживать оптимальный вес и форму тела.,2015-09-09,2025-01-04,3.89,Awaiting Payment
57,Кофе эспрессо,2089,22,Напитки,"Помогает поддерживать нормальный уровень кемпферола, флавоноида, полезного для здоровья сердца и сосудов.",2019-08-02,2028-08-26,1.25,Awaiting Review
58,Клубника,337,275,Фрукты,Отличается хорошим сочетанием с различными специями и приправами.,2002-02-07,2015-01-01,3.0,Available for Pickup
59,Паштет,5639,84,Мясо,Подходит для людей с чувствительным пищеварением.,1995-02-02,2014-07-03,0.97,Pending
60,Пакеты для Дня матери,8835,184,Товары для дома,Способствует улучшению работы пищеварительной системы.,1992-07-25,2018-03-04,2.35,Out of Stock
61,Моцарелла,4294,848,Молочные продукты,Отличается хорошей совместимостью с другими продуктами питания.,1994-03-11,2010-09-01,3.7,Temporarily Unavailable
62,Йогурт,6816,353,Молочные продукты,Подходит для людей с непереносимостью лактозы благодаря специальной обработке.,1998-01-02,2030-11-18,1.15,Refunded
63,Шпик,5672,373,Мясо,Помогает поддерживать нормальный уровень кислотности желудка.,1997-02-20,2009-01-25,4.94,Shipping
64,Пакеты для семинара,8412,685,Товары для дома,Отличается высокой питательной ценностью и помогает поддерживать здоровый образ жизни.,2012-02-07,2017-01-03,4.2,Backorder
65,Конина,100,37,Мясо,"Помогает поддерживать нормальный уровень нарингина, флавоноида, полезного для снижения уровня холестерина и улучшения пищеварения.",2001-03-04,2014-01-08,3.75,In Stock
66,Дезодорант,4189,572,Товары для дома,Может использоваться в косметических процедурах для увлажнения кожи.,2019-02-06,2019-10-09,4.22,Pending
67,Огурец,125,569,Овощи,"Помогает поддерживать нормальный уровень глутатиона, главного антиоксиданта организма.",2014-09-03,2019-01-01,1.67,Refunded
68,Темный шоколад,2743,78,Бакалея,"Подходит для людей, следящих за своим весом, благодаря низкому содержанию калорий.",1996-01-08,2028-08-13,1.17,Awaiting Review
69,Плечо,5388,869,Мясо,"Помогает поддерживать нормальный уровень нарингина, флавоноида, полезного для снижения уровня холестерина и улучшения пищеварения.",1999-05-09,2000-01-05,0.33,In Stock
70,Рыбинская,3249,887,Напитки,Помогает предотвратить дефицит витаминов и минералов в организме.,2015-05-08,2025-03-13,3.17,On Backorder
71,Инжир,3003,233,Фрукты,Помогает поддерживать нормальный уровень тестостерона у мужчин.,2014-08-05,2026-03-03,3.32,Awaiting Payment
72,Шпик,567,554,Мясо,Помогает поддерживать нормальный уровень холестерина в крови.,1998-02-16,2010-03-04,2.69,Shipping
73,Шаверма,3553,818,Мясо,Помогает регулировать уровень сахара в крови и предотвращать резкие скачки инсулина.,2014-02-26,2016-02-14,3.3,Out of Stock
74,Окра,6329,972,Овощи,Помогает поддерживать нормальный уровень холестерина в крови.,2015-01-04,2017-02-13,2.78,Out of Stock
75,Зубная паста,5629,62,Товары для дома,Способствует укреплению иммунной системы благодаря содержанию пробиотиков.,1994-01-20,2023-01-08,2.95,Shipping
76,Майонез,5622,570,Бакалея,Помогает поддерживать нормальный уровень кислотности желудка.,1993-01-11,1994-01-02,2.48,Awaiting Review
77,Окра,6069,912,Овощи,"Отличается высоким содержанием лютеолина, флавоноида, обладающего противовоспалительными свойствами.",2012-01-03,2022-03-09,1.01,Delivered
78,Тыква,4269,20,Овощи,"Помогает поддерживать нормальный уровень глюкагона, гормона, регулирующего уровень глюкозы в крови.",2008-01-04,2021-03-06,2.23,Delivered
79,Огурец,1380,818,Овощи,"Помогает поддерживать нормальный уровень зеаксантина, каротиноида, важного для здоровья глаз.",1991-04-03,2012-02-02,2.8,Refunded
80,Волжанка,2232,653,Напитки,Помогает поддерживать нормальный уровень холестерина в крови.,2006-03-07,2021-02-07,4.05,Backorder
81,Сервелат,4754,192,Мясо,"Обладает приятными органолептическими свойствами, привлекающими внимание покупателей.",1994-01-03,2019-05-01,4.07,Shipping
82,Буженина,8784,10,Мясо,Отличается натуральным составом и отсутствием искусственных добавок.,2002-04-13,2012-05-10,1.24,Temporarily Unavailable
83,Скалки,8031,525,Товары для дома,Помогает поддерживать здоровый цвет лица и упругость кожи.,2001-01-21,2002-06-16,1.33,Available for Pickup
84,Огурец,9610,120,Овощи,"Является источником важных нутриентов, необходимых для роста и развития детей.",1999-07-07,2026-07-05,1.21,Available for Pickup
85,Мягкие игрушки,1861,532,Товары для дома,"Отличается высоким содержанием капсаицина, вещества, ускоряющего метаболизм и уменьшающего боль.",1999-03-17,2029-01-18,2.06,Available for Pickup
86,Бадьян,716,330,Бакалея,"Отличается высоким содержанием эвгенола, вещества, обладающего обезболивающими и антисептическими свойствами.",1990-02-08,2018-01-12,2.52,Backorder
87,Инжир,7658,89,Фрукты,"Производится из высококачественного сырья, что гарантирует его безопасность и пользу для здоровья.",2001-02-07,2013-06-04,4.21,Delivered
88,Окра,4747,550,Овощи,Помогает предотвратить развитие остеопороза благодаря высокому содержанию кальция.,1998-07-15,2002-08-02,1.42,Available for Pickup
89,Мацони,8601,260,Молочные продукты,"Отличается высоким содержанием олигосахаридов, полезных для здоровья кишечника и иммунной системы.",2008-09-04,2021-02-01,4.12,Backorder
90,Куриные бедра,4091,411,Мясо,Способствует укреплению иммунной системы благодаря содержанию пробиотиков.,2020-05-04,2030-09-14,0.14,Sold
91,Чечевица,2715,961,Овощи,"Отличается высоким содержанием бета-каротина, необходимого для здоровья глаз и кожи.",2016-02-10,2026-02-03,3.27,Refunded
92,Легкое,3681,364,Мясо,Служит основой для создания множества кулинарных шедевров.,2018-02-09,2025-04-03,0.14,Shipping
93,Сервелат,2747,397,Мясо,Помогает поддерживать здоровье глаз и зрение благодаря содержанию витамина A.,2001-03-09,2003-10-10,4.54,Cancelled
94,Паприка острая молотая,4457,118,Бакалея,Помогает поддерживать нормальный уровень мочевой кислоты в организме.,2008-05-01,2016-01-15,3.02,Out of Stock
95,Клубника,8369,718,Фрукты,"Является источником важных нутриентов, необходимых для роста и развития детей.",1990-05-17,2006-04-06,0.88,Awaiting Review
96,Папайя,5454,294,Фрукты,"Отличается высоким содержанием холина, необходимого для здоровья мозга и памяти.",1994-06-15,1996-02-01,3.02,On Backorder
97,Пакет для заморозки,2435,830,Товары для дома,Может использоваться в вегетарианской диете как источник белка.,1994-06-02,2009-02-01,1.94,Awaiting Payment
98,Фольга алюминиевая,125,564,Товары для дома,"Отличается широким ассортиментом вкусов и форматов, удовлетворяя потребности разных категорий потребителей.",2012-08-09,2018-05-21,1.09,Awaiting Review
99,Биточки,9459,993,Мясо,Представляет собой ценный источник питательных веществ для растущего организма.,2010-05-04,2027-02-04,3.05,Delivered
100,Ямс,6597,258,Овощи,"Отличается высоким содержанием мирицетина, флавоноида, обладающего антиоксидантными и противовоспалительными свойствами.",2012-04-08,2030-04-20,3.67,Awaiting Payment
101,Тимьян сушеный,1242,378,Бакалея,"Помогает поддерживать нормальный уровень глутатиона, главного антиоксиданта организма.",2003-02-03,2007-04-07,1.85,New
102,Айран,9335,784,Молочные продукты,Отвечает всем современным стандартам качества и безопасности.,1992-03-03,1997-05-13,3.64,Available for Pickup
103,Эмменталь,1312,998,Молочные продукты,"Отличается высоким содержанием пребиотиков, способствующих здоровью кишечника.",2020-06-16,2027-10-12,0.93,Sold
104,Портулак,6614,766,Овощи,"Отличается высоким содержанием биотина, необходимого для здоровья волос, кожи и ногтей.",2005-06-01,2009-02-20,1.84,Shipping
105,Мука ржаная,4520,505,Бакалея,Идеально подходит для употребления в чистом виде или в составе различных блюд и напитков.,2006-02-07,2013-01-05,0.18,In Stock
106,Мацони,7269,705,Молочные продукты,Отличается хорошей совместимостью с другими продуктами питания.,1991-01-19,2020-03-18,1.91,New
107,Кокосовая вода,5693,871,Напитки,"Подходит для использования в диетах, направленных на снижение веса.",1997-02-02,2028-01-14,1.64,Awaiting Payment
108,Пакеты для офиса,2465,365,Товары для дома,"Отличается высоким содержанием меди, необходимой для синтеза коллагена и эластина.",2015-01-08,2027-12-15,3.1,Delivered
109,Моющее средство для пола,8397,199,Товары для дома,Отличается универсальностью применения в кулинарии и пищевой промышленности.,1990-05-05,1998-01-17,4.8,Sold
110,Творог,1918,379,Молочные продукты,Прошел проверку на соответствие экологическим нормам и стандартам.,2001-01-02,2025-02-13,2.49,New
111,Яблоко,7405,538,Фрукты,"Является источником антиоксидантов, замедляющих процессы старения.",2005-07-21,2030-03-04,4.82,Refunded
112,Куриные бедра,5756,329,Мясо,"Помогает поддерживать нормальный уровень мирицетина, флавоноида, обладающего антиоксидантными и противовоспалительными свойствами.",2006-01-01,2010-11-02,0.17,Awaiting Review
113,Айран,8486,669,Молочные продукты,Отвечает всем современным стандартам качества и безопасности.,2018-01-02,2021-01-27,0.57,Returned
114,Какао-порошок,8128,741,Бакалея,"Отличается высоким содержанием витамина C, необходимого для здоровья кожи и иммунной системы.",1991-02-13,2014-07-01,4.58,Delivered
115,Тыква,3504,156,Овощи,"Отличается высоким содержанием альфа-липоевой кислоты, мощного антиоксиданта.",2010-06-02,2018-05-01,3.96,On Backorder
116,Голландский сыр,788,779,Молочные продукты,"Помогает поддерживать здоровую кожу, волосы и ногти благодаря содержанию биотина.",1991-02-21,2011-01-08,0.81,Delivered
117,Пакеты для благотворительного мероприятия,8446,526,Товары для дома,Является неотъемлемой частью рациона многих народов мира.,2021-02-20,2027-01-02,3.86,Awaiting Review
118,Пакеты для Дня благодарения,1253,809,Товары для дома,Подходит для использования в рационе людей с повышенным давлением.,2004-06-04,2024-01-03,4.89,Returned
119,Груша,3643,511,Фрукты,Отличается высокой питательной ценностью и помогает поддерживать здоровый образ жизни.,2010-06-03,2023-10-01,2.39,Refunded
120,Чашки,5993,457,Товары для дома,Прошел все необходимые сертификации и соответствует международным стандартам.,1991-07-07,2030-01-01,4.64,Cancelled
121,Топлёное молоко,5437,790,Молочные продукты,"Имеет низкий гликемический индекс, что делает его безопасным для диабетиков.",1992-01-04,2019-01-16,4.28,Backorder
122,Йогурт,3963,11,Молочные продукты,Помогает поддерживать здоровье нервной системы благодаря содержанию магния.,2015-05-02,2018-04-03,1.45,Pending
123,Кухонные ножи,3398,493,Товары для дома,Помогает поддерживать нормальный обмен веществ и метаболизм.,2008-01-07,2009-08-04,1.18,Available for Pickup
124,Одинцовская,3929,505,Напитки,"Может использоваться как основа для приготовления домашних йогуртов, сыров и других молочных продуктов.",2014-01-18,2018-05-07,1.62,On Backorder
125,Черешня,5183,501,Фрукты,"Помогает поддерживать нормальный уровень даидзеина, изофлавона, полезного для здоровья женщин во время менопаузы.",1990-01-04,2009-01-04,4.05,Delivered
